date,Battery (Charging) -  GWh,Pumps -  GWh,Coal -  GWh,Bioenergy -  GWh,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh,Wind (Curtailment) -  GWh,Solar (Curtailment) -  GWh,Coal Emissions Vol - tCO₂e,Bioenergy Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal Market Value - AUD,Bioenergy Market Value - AUD,Distillate Market Value - AUD,Gas Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar Market Value - AUD
1998-12-01,0.00,-24.36,9750.46,0.00,15.22,476.83,0.00,548.71,0.00,0.00,0.00,0.00,10126848.55,0.00,15999.76,310504.86,970.88,24.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-01-01,0.00,-42.41,12498.77,0.00,3.58,674.53,0.00,723.98,0.00,0.00,0.00,0.00,13069064.07,0.00,3755.77,438539.38,974.95,18.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-02-01,0.00,-21.76,11698.84,0.00,2.11,663.53,0.00,597.19,0.00,0.00,0.00,0.00,12302867.91,0.00,2218.78,431109.56,984.26,17.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-03-01,0.00,-64.14,12839.97,0.00,11.16,613.54,0.00,555.51,0.00,0.00,0.00,0.00,13509155.50,0.00,11701.17,409155.59,998.14,16.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-04-01,0.00,-18.47,11912.49,0.00,1.74,660.01,0.00,515.23,0.00,0.00,0.00,0.00,12502393.67,0.00,1812.13,426564.60,989.27,18.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-05-01,0.00,-52.86,12807.31,0.00,3.68,710.19,0.00,502.40,0.00,0.00,0.00,0.00,13350252.85,0.00,3866.45,451751.42,988.20,22.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-06-01,0.00,-39.99,13302.51,0.00,0.31,654.04,0.00,480.18,0.00,0.00,0.00,0.00,13819937.74,0.00,328.57,422683.32,989.30,24.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-07-01,0.00,-35.85,13650.96,0.00,0.00,699.10,0.00,565.85,0.00,0.00,0.00,0.00,14338418.81,0.00,4.86,451912.82,993.97,20.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-08-01,0.00,-33.76,13298.79,0.00,6.66,814.40,0.00,523.48,0.00,0.00,0.00,0.00,13995676.17,0.00,6993.63,518958.96,993.98,19.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-09-01,0.00,-3.54,12405.83,0.00,0.00,672.38,0.00,450.32,0.00,0.00,0.00,0.00,13076674.37,0.00,0.00,444424.72,999.71,17.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-10-01,0.00,-7.80,12499.03,0.00,5.88,738.50,0.00,495.77,0.00,0.00,0.00,0.00,13134450.34,0.00,6166.93,491803.79,992.79,17.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-11-01,0.00,-11.95,12227.69,0.00,3.06,674.65,0.00,516.82,0.00,0.00,0.00,0.00,12832569.28,0.00,3214.40,442922.43,990.19,16.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-12-01,0.00,-30.10,12575.34,0.00,0.82,712.12,0.00,505.70,0.00,0.00,0.00,0.00,13241983.33,0.00,867.41,473140.14,996.52,23.33,0.00,592217.85,275905541.78,0.00,36984.11,25104573.24,0.00,10475807.98,0.00,0.00
2000-01-01,0.00,-35.84,12377.95,0.00,16.10,1003.89,0.00,524.30,0.00,0.00,0.00,0.00,12852835.42,0.00,16897.73,659372.62,974.27,58.55,0.00,11153737.38,690653060.22,0.00,11328630.88,67323836.98,0.00,31602686.50,0.00,0.00
2000-02-01,0.00,-51.94,12270.12,0.00,5.53,1170.23,0.00,683.53,0.00,0.00,0.00,0.00,12787404.25,0.00,5824.83,753186.09,962.28,55.38,0.00,1643935.82,610298503.05,0.00,2077614.19,121676308.38,0.00,47942704.81,0.00,0.00
2000-03-01,0.00,-63.57,13170.83,0.00,22.93,819.97,0.00,638.94,0.00,0.00,0.00,0.00,13833698.13,0.00,24071.60,537180.41,986.69,47.34,0.00,4967116.40,568255311.34,0.00,3187469.37,82056324.18,0.00,31388719.47,0.00,0.00
2000-04-01,0.00,-32.45,12240.67,0.00,3.94,576.88,0.00,464.87,0.00,0.00,0.00,0.00,12843904.52,0.00,4133.77,373437.33,997.55,32.30,0.00,1274284.55,367154503.12,0.00,514570.84,24854544.19,0.00,13499861.62,0.00,0.00
2000-05-01,0.00,-37.58,13324.07,0.00,2.00,820.25,0.00,509.32,0.00,0.00,0.00,0.00,13939674.05,0.00,2097.51,503837.75,988.20,58.62,0.00,1433543.33,730583638.94,0.00,1780094.74,60840312.37,0.00,45532538.20,0.00,0.00
2000-06-01,0.00,-65.64,13392.08,0.00,6.50,1080.80,0.00,633.52,0.00,0.00,0.00,0.00,13919744.97,0.00,6762.07,650011.49,968.72,45.73,0.00,1936737.02,574036428.52,0.00,882908.17,63083747.23,0.00,35464499.64,0.00,0.00
2000-07-01,0.00,-95.91,13943.31,0.00,4.64,780.81,0.00,727.66,0.00,0.00,0.00,0.00,14482980.06,0.00,4873.67,481829.68,974.56,52.36,0.00,3538104.92,694287188.19,0.00,661274.23,49699512.23,0.00,38540955.40,0.00,0.00
2000-08-01,0.00,-122.87,13718.35,0.00,2.30,777.27,0.00,739.11,0.00,0.00,0.00,0.00,14206704.53,0.00,2414.21,485854.02,972.27,55.33,0.00,3794339.69,713063005.18,0.00,284147.14,54296676.67,0.00,49165639.55,0.00,0.00
2000-09-01,0.00,-22.14,12518.57,0.00,0.05,566.85,0.00,663.00,0.00,0.00,0.00,0.00,13111022.54,0.00,48.63,351931.66,980.82,27.65,0.00,478015.84,332254907.27,0.00,5465.81,19328085.70,0.00,16370631.89,0.00,0.00
2000-10-01,0.00,-12.16,12784.10,0.00,4.50,601.50,0.00,595.87,0.00,0.00,0.00,0.00,13437106.57,0.00,4726.83,371396.34,988.51,37.63,0.00,251549.05,457144747.25,0.00,574018.49,30159716.46,0.00,20881477.75,0.00,0.00
2000-11-01,0.00,-67.66,12753.25,0.00,8.40,645.35,0.00,381.51,0.00,0.00,0.00,0.00,13309699.21,0.00,8866.28,396580.63,999.58,37.74,0.00,1257400.86,444980135.57,0.00,503359.86,36699112.13,0.00,15023640.02,0.00,0.00
2000-12-01,0.00,-106.34,13279.52,0.00,5.36,612.00,0.00,375.26,0.00,0.00,0.00,0.00,13921793.06,0.00,5611.21,368505.19,1009.18,32.04,0.00,2048400.14,403323815.87,0.00,669109.78,26580124.83,0.00,12972462.83,0.00,0.00
2001-01-01,0.00,-142.38,13499.43,0.00,5.06,970.95,0.00,508.27,0.00,0.00,0.00,0.00,14138756.93,0.00,5523.13,566581.75,991.21,70.99,0.00,3336740.99,856382560.10,0.00,2181273.52,105302313.24,0.00,84870767.93,0.00,0.00
2001-02-01,0.00,-124.79,12581.48,0.00,2.38,908.63,0.00,456.67,0.00,0.00,0.00,0.00,13182462.44,0.00,2741.30,515265.62,991.04,40.35,0.00,2586297.81,459092938.04,0.00,558926.89,59303053.54,0.00,22652750.16,0.00,0.00
2001-03-01,0.00,-107.92,13323.58,0.00,1.89,860.57,0.00,477.92,0.00,0.00,0.00,0.00,14021725.41,0.00,1986.35,484412.55,996.71,39.25,0.00,2382265.95,496809992.54,0.00,713189.47,41010963.27,0.00,21644985.35,0.00,0.00
2001-04-01,0.00,-68.24,12534.70,0.00,0.06,674.66,0.00,373.72,0.00,0.00,0.00,0.00,13156778.72,0.00,59.74,370486.83,1000.92,30.92,0.00,1479405.86,375071018.40,0.00,10945.66,24256799.38,0.00,12535252.49,0.00,0.00
2001-05-01,0.00,-32.36,13379.15,0.00,0.18,894.10,0.00,663.22,0.00,0.00,0.00,0.00,13926533.13,0.00,183.16,488814.40,967.21,37.16,0.00,810321.05,486413086.11,0.00,11579.62,36443930.39,0.00,26867700.78,0.00,0.00
2001-06-01,0.00,-23.85,13434.95,0.00,0.35,860.31,0.00,575.34,0.00,0.00,0.00,0.00,14065802.65,0.00,370.26,465448.78,978.75,33.03,0.00,517770.34,430365979.92,0.00,27211.46,30830813.65,0.00,19495149.63,0.00,0.00
2001-07-01,0.00,-26.58,14316.01,0.00,0.01,833.55,0.00,486.46,0.00,0.00,0.00,0.00,14962914.58,0.00,6.42,450919.29,987.47,35.51,0.00,493803.47,457335630.79,0.00,177.88,44002348.34,0.00,16384535.15,0.00,0.00
2001-08-01,0.00,-29.50,14112.53,0.00,0.75,915.17,0.00,429.19,0.00,0.00,0.00,0.00,14786195.87,0.00,834.87,484184.92,989.83,50.75,0.00,547812.41,617206188.22,0.00,20869.00,62596181.36,0.00,28784693.59,0.00,0.00
2001-09-01,0.00,-15.88,12729.17,0.00,0.23,765.56,0.00,473.60,0.00,0.00,0.00,0.00,13337672.61,0.00,241.44,406666.56,985.09,26.54,0.00,280552.76,331559705.01,0.00,5413.44,21283753.80,0.00,13027871.52,0.00,0.00
2001-10-01,0.00,-57.62,12965.00,0.00,2.03,835.18,0.00,577.51,0.00,0.00,0.00,0.00,13539926.24,0.00,2133.11,443638.92,976.51,32.66,0.00,1169959.77,412406974.92,0.00,649649.50,29471868.51,0.00,21912235.01,0.00,0.00
2001-11-01,0.00,-16.15,12880.49,0.00,19.47,648.15,0.00,438.89,0.00,0.00,0.00,0.00,13392135.58,0.00,20445.47,371497.17,986.63,26.06,0.00,302078.05,325227570.11,0.00,533986.26,19504561.31,0.00,13249050.18,0.00,0.00
2001-12-01,0.00,-27.60,12938.91,0.00,44.02,804.33,0.00,477.02,0.00,0.00,0.00,0.00,13295215.81,0.00,46211.68,434130.17,967.61,33.84,0.00,580651.13,420121601.97,0.00,1542046.69,27997418.59,0.00,25776597.35,0.00,0.00
2002-01-01,0.00,-48.73,13561.53,0.00,19.73,741.18,0.00,453.61,0.00,0.00,0.00,0.00,14102558.57,0.00,20716.04,411153.98,986.90,42.40,0.00,895429.43,537592952.49,0.00,1036060.27,30034175.71,0.00,20013250.44,0.00,0.00
2002-02-01,0.00,-45.33,12560.85,0.00,25.63,656.78,0.00,484.91,0.00,0.00,0.00,0.00,13121280.74,0.00,26904.29,363728.18,987.51,40.34,0.00,779698.62,481720485.86,0.00,1425873.24,26230366.06,0.00,22020661.45,0.00,0.00
2002-03-01,0.00,-21.66,13645.32,0.00,12.06,712.91,0.00,348.52,0.00,0.00,0.00,0.00,14207780.64,0.00,12679.67,386438.14,993.86,36.31,0.00,363877.69,472514675.96,0.00,713579.14,25547750.33,0.00,15673156.92,0.00,0.00
2002-04-01,0.00,-20.09,13050.87,0.00,2.58,708.38,0.00,222.54,0.00,0.00,0.00,0.00,13507996.35,0.00,2704.23,384569.93,995.06,51.31,0.00,326591.85,643986635.23,0.00,79255.21,28108264.08,0.00,15740201.22,0.00,0.00
2002-05-01,0.00,-14.96,13805.49,0.00,6.33,963.44,0.00,404.32,0.00,0.00,0.00,0.00,14186234.03,0.00,6706.17,520045.58,970.22,75.41,0.00,356772.96,944882779.83,0.00,1372331.00,89520247.92,0.00,85729044.96,0.00,0.00
2002-06-01,0.00,-23.89,13992.73,0.00,0.58,918.66,0.00,444.96,0.00,0.00,0.00,0.00,14531816.25,0.00,615.64,493425.41,979.97,56.60,0.00,429139.95,725022994.93,0.00,249099.34,53642909.52,0.00,58747759.60,0.00,0.00
2002-07-01,0.00,-38.78,14739.89,0.00,0.63,1009.92,0.00,561.41,0.00,0.00,0.00,0.00,15363274.01,0.00,695.88,547954.66,977.81,51.42,0.00,855823.29,705520927.36,0.00,481423.60,58334394.88,0.00,46312752.85,0.00,0.00
2002-08-01,0.00,-34.43,14393.95,0.00,0.38,878.77,0.00,426.80,0.00,0.00,0.00,0.00,15050260.18,0.00,406.72,457747.52,989.97,30.57,0.00,579884.39,428664177.37,0.00,12984.49,27158922.88,0.00,15180869.95,0.00,0.00
2002-09-01,0.00,-50.43,13107.88,0.00,0.82,792.03,0.00,504.01,0.00,0.00,0.00,0.00,13670754.14,0.00,864.37,412633.96,981.19,31.81,0.00,883535.94,406965513.64,0.00,25533.47,24492318.54,0.00,18503461.79,0.00,0.00
2002-10-01,0.00,-37.28,13375.62,0.00,0.47,833.40,0.00,536.44,0.00,0.00,0.00,0.00,13922399.30,0.00,461.14,425318.00,975.49,31.04,0.00,646539.48,408647394.71,0.00,10402.60,25962369.33,0.00,17940751.62,0.00,0.00
2002-11-01,0.00,-34.45,13428.50,0.00,3.25,787.15,0.00,375.67,0.00,0.00,0.00,0.00,13996282.09,0.00,3383.94,402568.94,989.16,37.15,0.00,590644.38,477180481.30,0.00,90335.95,27630134.18,0.00,22367357.80,0.00,0.00
2002-12-01,0.00,-59.80,13677.58,0.00,5.82,822.31,0.00,426.62,0.00,0.00,0.00,0.00,14276191.47,0.00,6048.82,427125.45,989.03,37.89,0.00,1061707.94,492072067.78,0.00,368986.72,37583093.33,0.00,20395348.07,0.00,0.00
2003-01-01,0.00,-52.37,13922.86,0.00,0.63,808.20,0.00,670.54,0.00,0.00,0.00,0.00,14514134.20,0.00,604.17,417248.21,972.78,41.50,0.00,814548.46,529774801.31,0.00,103803.59,35406787.50,0.00,44454114.69,0.00,0.00
2003-02-01,0.00,-28.39,12924.36,0.00,0.89,653.31,0.00,602.64,0.00,0.00,0.00,0.00,13431200.73,0.00,893.30,329838.13,972.38,24.58,0.00,522450.15,296150249.30,0.00,15984.50,15997808.77,0.00,15123745.04,0.00,0.00
2003-03-01,0.00,-39.03,13793.94,0.00,5.76,576.22,0.00,582.41,0.00,0.00,0.00,0.00,14232704.93,0.00,6008.30,295677.44,974.20,20.71,0.00,445717.06,270610774.89,0.00,110027.89,17717568.83,0.00,15464709.81,0.00,0.00
2003-04-01,0.00,-30.52,13325.64,0.00,4.91,439.88,0.00,423.13,0.00,0.00,0.00,0.00,13903525.73,0.00,5121.84,244548.40,999.31,17.30,0.00,364208.54,223258667.23,0.00,93318.40,9267447.55,0.00,7865280.91,0.00,0.00
2003-05-01,0.00,-39.84,14120.83,0.00,0.11,704.17,0.00,519.46,0.00,0.00,0.00,0.00,14583355.11,0.00,79.54,367475.99,976.88,21.17,0.00,519385.03,285559211.87,0.00,13544.64,21743713.77,0.00,13878563.68,0.00,0.00
2003-06-01,0.00,-48.50,14093.44,0.00,0.37,761.57,0.00,538.81,0.00,0.00,0.00,0.00,14589956.12,0.00,368.65,393964.07,976.45,49.97,0.00,739185.02,624413048.05,0.00,97551.84,50573798.74,0.00,66366446.63,0.00,0.00
2003-07-01,0.00,-51.06,15051.15,0.00,0.27,709.46,0.00,681.07,0.00,0.00,0.00,0.00,15512229.39,0.00,261.26,362970.26,968.55,40.58,0.00,739097.34,558344081.34,0.00,175491.68,30040660.81,0.00,45017719.74,0.00,0.00
2003-08-01,0.00,-67.10,14597.15,0.00,0.18,701.98,0.00,754.45,0.00,0.00,0.00,0.00,15089536.22,0.00,172.43,354521.16,966.07,19.63,0.00,1003280.54,278177386.49,0.00,3779.75,16320861.64,0.00,16602373.46,0.00,0.00
2003-09-01,0.00,-48.24,13631.40,0.00,0.12,592.56,0.00,661.39,0.00,0.00,0.00,0.00,14036666.74,0.00,90.27,304417.26,966.57,19.96,0.00,651009.47,261328524.06,0.00,2216.48,14149483.85,0.00,14548733.30,0.00,0.00
2003-10-01,0.00,-31.84,13874.06,0.00,1.23,603.43,0.00,636.10,0.00,0.00,0.00,0.00,14315783.26,0.00,1262.63,321447.21,970.53,19.10,0.00,374347.36,254807435.21,0.00,22426.38,14859948.00,0.00,12860679.93,0.00,0.00
2003-11-01,0.00,-53.50,13417.58,0.00,2.01,638.44,0.00,530.53,0.00,0.00,0.00,0.00,13774451.59,0.00,2071.99,337896.20,971.06,22.79,0.00,1565540.98,289326326.46,0.00,28380.76,24577254.56,0.00,12475484.66,0.00,0.00
2003-12-01,0.00,-89.20,14126.61,0.00,3.94,795.59,0.00,468.93,0.00,0.00,0.00,0.00,14532839.58,0.00,4157.38,420848.49,977.26,23.58,0.00,1433826.73,315870524.64,0.00,83629.39,26666257.90,0.00,13599242.60,0.00,0.00
2004-01-01,0.00,-138.84,14756.67,0.00,4.76,599.76,0.00,282.18,0.00,0.00,0.00,0.00,15217528.95,0.00,4962.75,331458.32,1003.19,45.73,0.00,2510629.31,586743165.45,0.00,129834.45,22082846.53,0.00,18811129.54,0.00,0.00
2004-02-01,0.00,-141.50,14325.44,0.00,9.66,764.64,0.00,431.19,0.00,0.00,0.00,0.00,14824610.41,0.00,10232.21,422796.71,991.44,52.65,0.00,2656862.42,654891295.21,0.00,2887782.65,77468423.03,0.00,47219187.56,0.00,0.00
2004-03-01,0.00,-120.38,14779.03,0.00,2.17,601.23,0.00,330.55,0.00,0.00,0.00,0.00,15343103.25,0.00,2268.04,334725.42,1005.61,24.86,0.00,2130416.76,351472893.89,0.00,59593.44,20927602.90,0.00,9083990.06,0.00,0.00
2004-04-01,0.00,-145.49,13566.75,0.00,1.04,756.18,0.00,322.43,0.00,0.00,0.00,0.00,14036417.88,0.00,1077.61,414173.51,996.60,30.35,0.00,2993478.24,398472350.06,0.00,37483.85,25422669.27,0.00,11322342.39,0.00,0.00
2004-05-01,0.00,-136.91,14513.85,0.00,1.11,1013.86,0.00,340.79,0.00,0.00,0.00,0.00,15026499.04,0.00,1158.19,553356.18,990.36,33.15,0.00,2978093.22,463921045.08,0.00,98012.12,39765788.12,0.00,14315213.91,0.00,0.00
2004-06-01,0.00,-93.87,14823.14,0.00,0.48,933.61,0.00,316.70,0.00,0.00,0.00,0.00,15373863.47,0.00,491.37,512055.32,994.14,31.99,0.00,1809115.31,448391263.02,0.00,66128.93,39145187.99,0.00,13930326.52,0.00,0.00
2004-07-01,0.00,-96.42,15696.93,0.00,1.76,809.69,0.00,352.98,0.00,0.00,0.00,0.00,16185578.05,0.00,1826.18,444564.62,992.07,39.81,0.00,1765219.00,568789851.38,0.00,283340.17,44266411.19,0.00,30756227.66,0.00,0.00
2004-08-01,0.00,-93.18,15281.31,0.00,1.82,690.23,0.00,393.40,0.00,0.00,0.00,0.00,15840175.51,0.00,1885.90,376774.78,996.64,28.38,0.00,1734672.74,418589916.78,0.00,62011.34,28020218.37,0.00,11939870.19,0.00,0.00
2004-09-01,0.00,-96.17,13666.66,0.00,1.79,841.43,0.00,623.56,0.00,0.00,0.00,0.00,14137062.48,0.00,1856.28,452217.31,970.33,65.05,0.00,2065678.99,754617637.81,0.00,105685.90,40434645.39,0.00,49494144.93,0.00,0.00
2004-10-01,0.00,-121.33,13702.28,0.00,5.80,917.57,0.00,631.47,0.00,0.00,0.00,0.00,14172987.42,0.00,6067.41,523108.15,971.35,59.95,0.00,3041287.15,749753689.84,0.00,852951.51,58873742.07,0.00,74623299.84,0.00,0.00
2004-11-01,0.00,-129.12,13890.45,0.00,6.58,889.21,0.00,448.28,0.00,0.00,0.00,0.00,14320933.59,0.00,6872.62,511794.43,982.40,69.51,0.00,3152305.38,837897758.21,0.00,1576809.63,75326886.64,0.00,78222474.91,0.00,0.00
