date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Wind (Curtailment) -  GWh,Solar (Utility) (Curtailment) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1/12/1998,0,-24.36,3277.81,6472.65,0,15.22,233.59,171.45,71.79,0,0,0,548.71,0,0,0,0,0,4154933.55,5971914.99,0,15999.76,134246.4,114322.1,61936.36,0,0,970.88,24.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/01/1999,0,-42.41,4351.95,8146.82,0,3.58,349.21,216.67,108.65,0,0,0,723.98,0,0,0,0,0,5532632.08,7536432,0,3755.77,200936.38,143386.05,94216.95,0,0,974.95,18.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/02/1999,0,-21.76,4153.15,7545.69,0,2.11,349.69,203.7,110.14,0,0,0,597.19,0,0,0,0,0,5319722.2,6983145.71,0,2218.78,200757.24,135630.12,94722.2,0,0,984.26,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/03/1999,0,-64.14,4622.72,8217.25,0,11.16,253.31,235.47,124.77,0,0,0,555.51,0,0,0,0,0,5904469.69,7604685.81,0,11701.17,145217.25,157341.22,106597.13,0,0,998.14,16.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/04/1999,0,-18.47,4204.93,7707.56,0,1.74,350.19,221.98,87.84,0,0,0,515.23,0,0,0,0,0,5404136.69,7098256.98,0,1812.13,201640.5,149516.58,75407.52,0,0,989.27,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/05/1999,0,-52.86,4357.78,8449.53,0,3.68,407.02,233.69,69.47,0,0,0,502.4,0,0,0,0,0,5595968.85,7754284,0,3866.45,233963.5,158440.56,59347.35,0,0,988.2,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/06/1999,0,-39.99,4491.31,8811.2,0,0.31,358.5,212.81,82.74,0,0,0,480.18,0,0,0,0,0,5721962,8097975.74,0,328.57,205240.99,147104.54,70337.79,0,0,989.3,24.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/07/1999,0,-35.85,4866.18,8784.78,0,0,363.77,237.37,97.96,0,0,0,565.85,0,0,0,0,0,6232512.67,8105906.13,0,4.86,206700.75,161383.7,83828.37,0,0,993.97,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/08/1999,0,-33.76,4670.05,8628.74,0,6.66,456.39,230.09,127.91,0,0,0,523.48,0,0,0,0,0,6003741.02,7991935.14,0,6993.63,256771.94,153065.72,109121.3,0,0,993.98,19.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/09/1999,0,-3.54,4403.74,8002.09,0,0,346.19,210.35,115.84,0,0,0,450.32,0,0,0,0,0,5667918.77,7408755.6,0,0,197823.37,146614.38,99986.96,0,0,999.71,17.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
