date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal -  GWh,Bioenergy -  GWh,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh,Wind (Curtailment) -  GWh,Solar (Curtailment) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal Emissions Vol - tCO₂e,Bioenergy Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal Market Value - AUD,Bioenergy Market Value - AUD,Distillate Market Value - AUD,Gas Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar Market Value - AUD
1/12/1998,0,-18.76,0,0,3897.78,0,0.06,64.61,0,377.83,0,0,0,0,32.6,21.94,13.9,0,0,3584631.96,0,38.83,46236.21,0,20.16,0,0,0,0,0,0,0,0,0,0,0,0
1/01/1999,0,-1.79,0,0,4881.9,0,0,83.11,0,467.86,0,0,0,0,31.1,23.42,18.3,0,0,4497421.21,0,0,59472.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/02/1999,0,-2.32,0,0,4552.35,0,0.05,79.31,0,389.11,0,0,0,0,30.2,22.52,15.5,0,0,4189060.81,0,33.3,56736.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/03/1999,0,-10.3,0,0,4924.53,0,0.02,88.35,0,380.64,0,0,0,0,30.4,22.14,11.5,0,0,4532843.65,0,14.21,63225.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/04/1999,0,-3.27,0,0,4671.74,0,0.07,81.47,0,378.26,0,0,0,0,27.1,17.15,10.5,0,0,4281966.14,0,45.89,58296.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/05/1999,0,-33.09,0,0,5303.49,0,0,85.77,0,377.44,0,0,0,0,23.5,16.04,6.8,0,0,4847790.37,0,0,61375.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/06/1999,0,-23.41,0,0,5622.69,0,0,84,0,345.9,0,0,0,0,19.7,13.32,6.5,0,0,5155960.5,0,1.09,60108.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/07/1999,0,-28.75,0,0,5499.55,0,0,86.86,0,459.79,0,0,0,0,21.2,13.08,7,0,0,5055901.07,0,0,62160.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/08/1999,0,-0.09,0,0,5413.74,0,0,86.09,0,392.76,0,0,0,0,25,13.99,6.3,0,0,4979802.99,0,0,61605.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/09/1999,0,0,0,0,4944.88,0,0,85.63,0,338.06,0,0,0,0,27.3,16.23,7.7,0,0,4566607.55,0,0,61223.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/1999,0,-2.05,0,0,4806.16,0,0.02,84.26,0,374.71,0,0,0,0,32.1,18.43,10.9,0,0,4419964.81,0,15.24,60295.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/1999,0,-3.08,0,0,4652.38,0,0,81.15,0,397.13,0,0,0,0,31,18.2,10.8,0,0,4285604.71,0,0,58030.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/1999,0,-26.73,0,0,4729.63,0,0,85.74,0,364.77,0,0,0,0,26.5,20.36,13.7,0,0,4363411,0,0,61288.8,0,17.91,0,524327.98,0,0,84534814.55,0,0,1529664.99,0,6963073.66,0,0
1/01/2000,0,-5.6,0,0,4992.59,0,0,85.72,0,342.48,0,0,0,0,34.7,20.9,14.8,0,0,4609472.12,0,0,60943.99,0,32.92,0,168955.85,0,0,155571466.9,0,0,2758854.32,0,12400926.08,0,0
1/02/2000,0,-43.09,0,0,4956.27,0,0.01,85.28,0,480.32,0,0,0,0,32.9,23.03,16.4,0,0,4551098.2,0,10.12,60565.91,0,49.24,0,1409875.78,0,0,237794692.3,0,312.34,4329457.6,0,36665755.84,0,0
1/03/2000,0,-10.81,0,0,5093.12,0,0,89,0,431.98,0,0,0,0,30,21.46,16.1,0,0,4691977.43,0,0,63574.26,0,31.62,0,456050.51,0,0,157704096.4,0,0,2982037.9,0,18532825.74,0,0
1/04/2000,0,-10.05,0,0,4687.49,0,0,76.79,0,324.69,0,0,0,0,28.8,18.85,9.2,0,0,4303200.9,0,0,54952.79,0,27.02,0,288936.53,0,0,120186785,0,0,1927520.87,0,8115467.6,0,0
1/05/2000,0,-18.79,0,0,5553.11,0,0,88.57,0,363.58,0,0,0,0,25.4,15.49,7.5,0,0,5119107.42,0,0,63390.53,0,58.05,0,872452.46,0,0,305285789.8,0,0,4687659.66,0,33525500.68,0,0
1/06/2000,0,-35.2,0,0,5891.44,0,0.16,84.57,0,510,0,0,0,0,22.1,12.37,5.7,0,0,5417810.35,0,114.67,60569.5,0,43.7,0,1312025.02,0,0,250542110.5,0,14791.15,3780912.31,0,28240431.43,0,0
1/07/2000,0,-74.67,0,0,6067.3,0,0,88.85,0,644.9,0,0,0,0,23.5,12.67,5.8,0,0,5585159.19,0,0,63584.08,0,46.86,0,3128031.13,0,0,275884355.4,0,0,4049244.72,0,32703669.12,0,0
1/08/2000,0,-103.41,0,0,6137.46,0,0,92.23,0,663.76,0,0,0,0,21.9,13.39,6.1,0,0,5645292.47,0,0,66029.74,0,54.9,0,3422275.36,0,0,322950328,0,0,5140293.37,0,41557687.61,0,0
1/09/2000,0,-16.36,0,0,5087.59,0,0,89.88,0,575.16,0,0,0,0,34.4,17.15,8.9,0,0,4722065.74,0,0,64319.38,0,25.19,0,374486.01,0,0,126165005,0,0,2190660.23,0,13976950.93,0,0
1/10/2000,0,-3.37,0,0,5033.99,0,0,85.08,0,457.75,0,0,0,0,35,18.28,11,0,0,4725420.55,0,0,60884.49,0,30.44,0,92306.88,0,0,148354238.7,0,0,2479356.23,0,15228192.72,0,0
1/11/2000,0,-64.85,0,0,5161.79,0,0,81.66,0,272.92,0,0,0,0,32.8,19.86,14.3,0,0,4776073.83,0,0,58441.7,0,32,0,1202878.84,0,0,160929163.2,0,0,2603437.63,0,10643759.87,0,0
1/12/2000,0,-97.44,0,0,5169.49,0,0.05,83.44,0,238.76,0,0,0,0,38.1,22.96,12.5,0,0,4760180.14,0,33.95,59710.02,0,26.67,0,1863615.48,0,0,136339754.2,0,767.89,2244317.75,0,7607015.38,0,0
1/01/2001,0,-126.5,0,0,5303.28,0,0,85.66,0,339.98,0,0,0,0,31.6,23.41,16.5,0,0,4867328.24,0,0,61371.66,0,77.98,0,3022138.78,0,0,391152732.1,0,0,7174261.49,0,66693517.23,0,0
1/02/2001,0,-100.07,0,0,5004.77,0,0.01,76.95,0,293.8,0,0,0,0,32,23.34,16.7,0,0,4602007.88,0,5.3,55063.77,0,33.9,0,2063798.66,0,0,166994091.4,0,265.35,2673833.92,0,12830660.24,0,0
1/03/2001,0,-64.11,0,0,5252.43,0,0,86.31,0,298.46,0,0,0,0,29.5,21.64,14.6,0,0,4896700.51,0,0,61761.05,0,32.27,0,1357737.96,0,0,168904937.7,0,0,2873566.54,0,11523012.87,0,0
1/04/2001,0,-49.14,0,0,4685.71,0,0,79.25,0,233.84,0,0,0,0,29.5,19.13,10.6,0,0,4344915.81,0,0,56710.82,0,31.03,0,1061114.38,0,0,144266183.6,0,0,2436187.29,0,8003719.15,0,0
1/05/2001,0,-4.54,0,0,5292.14,0,0.03,88.23,0,564.08,0,0,0,0,24.8,14.75,7.9,0,0,4884414.96,0,19.12,63138.89,0,36.75,0,118897.47,0,0,193631575.6,0,1184.31,3239353.45,0,22556550.13,0,0
1/06/2001,0,-7.25,0,0,5524.62,0,0,82.45,0,494.7,0,0,0,0,21.6,13.99,7.3,0,0,5114558.75,0,0,59003.35,0,31.23,0,166851.89,0,0,171610520.3,0,0,2555716.39,0,16225056.15,0,0
1/07/2001,0,-0.57,0,0,5752.36,0,0,86.9,0,280.82,0,0,0,0,20.3,13.03,5.9,0,0,5330573.29,0,0,62188.64,0,29.38,0,7608.71,0,0,168557471.4,0,0,2610780.78,0,9611287.81,0,0
1/08/2001,0,0,0,0,5382.05,0,0,88.26,0,190.49,0,0,0,0,24.7,13.59,6.5,0,0,4975539.46,0,0,63155.59,0,36.93,0,0,0,0,190012191.5,0,0,3276440.71,0,11865422.1,0,0
1/09/2001,0,-1.09,0,0,4774.77,0,0,82.49,0,221.03,0,0,0,0,30,17.09,9.3,0,0,4440614.9,0,0,59032.27,0,26.53,0,12404.85,0,0,125895529.7,0,0,2182879.4,0,6084547.95,0,0
1/10/2001,0,-27.49,0,0,5015.83,0,0,86.71,0,227.65,0,0,0,0,30.9,18.43,10,0,0,4666922.9,0,0,62047.32,0,29.61,0,625139.07,0,0,146981201.6,0,0,2618574.39,0,8226752.6,0,0
1/11/2001,0,-8.74,0,0,5117.22,0,0,90.84,0,166.91,0,0,0,0,33.1,18.97,10.8,0,0,4753125.81,0,0,65001.96,0,25.66,0,177873.77,0,0,129295505.1,0,0,2342735.12,0,4843254.79,0,0
1/12/2001,0,-6.46,0,0,5174.43,0,0,83.6,0,171.99,0,0,0,0,35.8,21.7,14.8,0,0,4752071.94,0,0,59824.94,0,35.66,0,176941.86,0,0,179010021.5,0,0,2991805.21,0,10817949.11,0,0
1/01/2002,0,-7.47,0,0,5346.43,0,0,86.25,0,145.59,0,0,0,0,36.8,22.85,16,0,0,4929220.98,0,0,61724.11,0,41.93,0,165478.93,0,0,203697539.7,0,0,3364627.13,0,5327306.66,0,0
1/02/2002,0,-11.38,0,0,4831.82,0,0,80.42,0,167.38,0,0,0,0,30.3,21.76,16.2,0,0,4451601.09,0,0,57544.98,0,41.16,0,204422.96,0,0,188455418.6,0,0,3414624.74,0,8023877,0,0
1/03/2002,0,-4.79,0,0,5249.42,0,0,84.72,0,166.31,0,0,0,0,35.6,21.4,15.8,0,0,4849089.76,0,0,60623.41,0,36.56,0,89088.42,0,0,185533639.1,0,0,3100420.09,0,8220145.65,0,0
1/04/2002,0,0,0,0,5053.21,0,0.01,82.71,0,162.46,0,0,0,0,27.5,19.59,13.5,0,0,4672540.66,0,10.06,59185.88,0,40.02,0,0,0,0,194391765.3,0,517.83,3268432.59,0,9322874.63,0,0
1/05/2002,0,-0.61,0,0,5534.39,0,0,88.84,0,246.51,0,0,0,0,25.5,15.33,9.4,0,0,5097101.42,0,0,63575.1,0,87.15,0,12091.41,0,0,424370865.4,0,0,6746892.62,0,51812397.8,0,0
1/06/2002,0,-4.22,0,0,5484.73,0,0,81.97,0,229.53,0,0,0,0,23.4,13.29,6,0,0,5065248.8,0,0,58659.57,0,63.46,0,87330.03,0,0,307078863.3,0,0,4508804.15,0,36405944.36,0,0
1/07/2002,0,-13.84,0,0,5901.35,0,0.01,88.99,0,274.98,0,0,0,0,21.2,12.37,4.3,0,0,5460753.72,0,5.24,63680.65,0,48.45,0,366946,0,0,267073579.5,0,229.24,4229974.54,0,22942377.5,0,0
1/08/2002,0,-0.91,0,0,5630.31,0,0,87.7,0,187.65,0,0,0,0,26.7,14.05,6.8,0,0,5202348.53,0,0,62758.14,0,31.2,0,15935.64,0,0,171754305.7,0,0,2691088.76,0,7397973.32,0,0
1/09/2002,0,-9.65,0,0,4818.56,0,0,69.8,0,165.75,0,0,0,0,30.3,17.01,7.2,0,0,4471334.92,0,0,49947.09,0,33.08,0,182376.16,0,0,157151387.3,0,0,2339012.02,0,7164450.77,0,0
1/10/2002,0,-10.09,0,0,4981.01,0,0.09,73.62,0,251.01,0,0,0,0,33.6,18.92,9.9,0,0,4605352.8,0,62.46,52681.59,0,30.39,0,191804.37,0,0,149710341.4,0,3068.6,2251434.95,0,8644465.65,0,0
1/11/2002,0,-9.53,0,0,4881.04,0,0.14,80.05,0,128.93,0,0,0,0,37.5,20.6,12.6,0,0,4505152.24,0,97.68,57281.45,0,42.46,0,182770.53,0,0,196836617.9,0,5367.44,3506808.74,0,12947227.99,0,0
1/12/2002,0,-17.71,0,0,5005.97,0,0.21,80.21,0,185.76,0,0,0,0,35.6,21.41,13.9,0,0,4624955.97,0,147.49,57401.65,0,34.19,0,351358.24,0,0,166448002.2,0,6932.44,2712324.46,0,9600762.66,0,0
1/01/2003,0,-20.39,0,0,5016.78,0,0.2,81.97,0,322.44,0,0,0,0,38.6,22.88,16.2,0,0,4634401.02,0,141.37,58660.19,0,59.14,0,366212.65,0,0,280106600.3,0,96148.51,4532982.81,0,31024700.38,0,0
1/02/2003,0,-3.67,0,0,4752.22,0,0.12,77.37,0,227.71,0,0,0,0,31.2,23.28,18.7,0,0,4388012.72,0,87.55,55363.62,0,28.17,0,38465.1,0,0,121671760.9,0,3065.89,2134024.67,0,7366224.7,0,0
1/03/2003,0,-0.01,0,0,5046.61,0,0.12,78.73,0,139.08,0,0,0,0,30,20.83,13.9,0,0,4639572.93,0,85.15,56336.71,0,19.24,0,99.23,0,0,96371985.95,0,2241.82,1500943.98,0,3228668.96,0,0
1/04/2003,0,-10.42,0,0,4777.61,0,0.1,81.9,0,70.63,0,0,0,0,26.6,18.22,11.9,0,0,4467963.13,0,73.04,58607.09,0,17.23,0,131294.18,0,0,81825705.24,0,1738.15,1414417.92,0,1483720.1,0,0
1/05/2003,0,-16.25,0,0,5323.12,0,0.09,87.78,0,221.29,0,0,0,0,26.4,16.16,9.6,0,0,4940938.38,0,63.92,62812.1,0,20.9,0,239422.74,0,0,109681260,0,1825.67,1838145.45,0,5431930.94,0,0
1/06/2003,0,-21.22,0,0,5525.73,0,0.07,87.91,0,260.92,0,0,0,0,24.7,14.45,7.4,0,0,5108620.88,0,51.21,62906.59,0,59.98,0,369501.11,0,0,283463734.5,0,3404.09,5070438.25,0,35253456.37,0,0
1/07/2003,0,-27.89,0,0,5858.6,0,0.08,88.44,0,363.11,0,0,0,0,23.6,12.67,4.9,0,0,5422115.17,0,54.5,63286.24,0,49.36,0,452766.19,0,0,253508765.8,0,2425.48,4242832.44,0,30617532.03,0,0
1/08/2003,0,-45.38,0,0,5625.8,0,0.07,85.03,0,379.57,0,0,0,0,24.8,13.69,5.3,0,0,5203932.75,0,46.7,60845.33,0,19.63,0,749106.45,0,0,109356701.2,0,1257.21,1676911.25,0,8036134.52,0,0
1/09/2003,0,-24.95,0,0,5123.01,0,0.11,83.26,0,322.79,0,0,0,0,32.2,16.88,7.7,0,0,4739877.23,0,76.73,59582.72,0,19.47,0,380675.49,0,0,99212985.52,0,2023.51,1639547.24,0,6752470.24,0,0
1/10/2003,0,-0.47,0,0,5153.69,0,0.1,77.53,0,404.52,0,0,0,0,29,16.47,8,0,0,4805122.51,0,70.49,55480.97,0,18.31,0,8875.09,0,0,93638378.98,0,1773.47,1404577.2,0,7684144.86,0,0
1/11/2003,0,-8.77,0,0,5115.69,0,0.11,81.94,0,368.48,0,0,0,0,28.5,18.61,10.9,0,0,4736198.86,0,76.11,58634.06,0,20.72,0,140376.29,0,0,104644604.5,0,2163.75,1680414.62,0,8138295.73,0,0
1/12/2003,0,-36.69,0,0,5391.5,0,0.15,84.05,0,273.7,0,0,0,0,36.8,21.79,15.7,0,0,4976381.76,0,108.2,60145.47,0,23.09,0,649808.25,0,0,123065820.2,0,3277.41,1976478.9,0,7718000.18,0,0
1/01/2004,0,-84.14,0,0,5473.26,0,0.12,82.76,0,82.26,0,0,0,0,32.8,23.11,16.5,0,0,5057309.56,0,87.92,59252.81,0,76.93,0,1576218.54,0,0,362419184.1,0,8071.39,6285869.11,0,13009023.76,0,0
1/02/2004,0,-87.83,0,0,5353.21,0,0,79.8,0,152.32,0,0,0,0,36.3,23.21,15.9,0,0,4941858.55,0,0,57104.9,0,56.06,0,1702825.39,0,0,268002759.6,0,0,3808187.94,0,25842284.17,0,0
1/03/2004,0,-64.65,0,0,5330.03,0,0.05,87.97,0,92.15,0,0,0,0,39.1,21.85,14.7,0,0,4918798.14,0,35.12,62951.59,0,25.24,0,1175073.41,0,0,133863738.4,0,1174.42,2293746.99,0,2773367.85,0,0
1/04/2004,0,-85.1,0,0,5098.78,0,0.04,79.33,0,95.89,0,0,0,0,30.4,19.62,12.6,0,0,4703822.38,0,27.2,56783.39,0,31.52,0,1819358.87,0,0,157699626.3,0,1177.08,2561369.19,0,3690077.19,0,0
1/05/2004,0,-71.32,0,0,5630.88,0,0.04,75.53,0,75,0,0,0,0,25.9,15.58,7.6,0,0,5213176.22,0,25.52,54049.62,0,34.33,0,1558518.13,0,0,188451167.7,0,1176.37,2609482.53,0,3968053.22,0,0
1/06/2004,0,-30.62,0,0,5925.61,0,0.04,83.22,0,37.59,0,0,0,0,24.7,14.01,7.5,0,0,5496650.44,0,26.9,59552.58,0,32.45,0,554950.36,0,0,185967783.1,0,1176.74,2641578.78,0,2605070.29,0,0
1/07/2004,0,-24.79,0,0,6330.61,0,0.06,85.68,0,95.82,0,0,0,0,24,12.68,6,0,0,5859709.68,0,41.84,61309.46,0,47.36,0,434594.02,0,0,272951090.8,0,2635.73,3959947.39,0,16026712.04,0,0
1/08/2004,0,-18.32,0,0,6051.93,0,0.07,85.59,0,141.56,0,0,0,0,24.8,14.16,7.1,0,0,5603191.94,0,48.61,61248.01,0,31.29,0,302161.8,0,0,188340226.1,0,2031.32,2794051.61,0,4948859.08,0,0
1/09/2004,0,-26.49,0,0,5179.61,0,0.08,84.93,0,249.12,0,0,0,0,28.2,15.98,7.7,0,0,4808455.13,0,54.93,60776.66,0,87.78,0,650878.71,0,0,374266862.2,0,3008,7240035.38,0,35481789.79,0,0
1/10/2004,0,-43.84,0,0,5250.1,0,0.06,82.68,0,221.22,0,0,0,0,38.1,18.27,11.3,0,0,4846614.92,0,45.4,59164.19,0,79.09,0,1079221.85,0,0,362565301.1,0,4139.9,6938926.94,0,50707190.98,0,0
1/11/2004,0,-63.75,0,0,5250.26,0,0.09,83.81,0,137.43,0,0,0,0,38.6,20.21,13.5,0,0,4853488.64,0,64.66,59976.38,0,98.82,0,1661356.68,0,0,441847784.6,0,218569.72,7966057.86,0,60666371.06,0,0
1/12/2004,0,-113.18,0,0,5300.91,0,0.09,84.88,0,121.06,0,0,0,0,39,21,13,0,0,4927839.44,0,61.07,60741.42,0,32.27,0,2475929.09,0,0,170378993.9,0,2754.97,2756730,0,4555040,0,0
1/01/2005,0,-42.49,0,0,5267.54,0,0.15,84.65,0,264.31,0,0,0,0,32.7,22.57,15.9,0,0,4886158.36,0,103.52,60576.82,0,47.65,0,1059929.77,0,0,233245943.3,0,61659.66,3992741.03,0,27630826.05,0,0
1/02/2005,0,-21.97,0,0,5035.69,0,0.04,78.85,0,297.38,0,0,0,0,38,22.65,13.7,0,0,4658956.16,0,31.43,56425.94,0,23.27,0,417464.27,0,0,116396404.1,0,984,1856421.2,0,7594640.98,0,0
