date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal -  GWh,Bioenergy -  GWh,Distillate -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh,Wind (Curtailment) -  GWh,Solar (Curtailment) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal Emissions Vol - tCO₂e,Bioenergy Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal Market Value - AUD,Bioenergy Market Value - AUD,Distillate Market Value - AUD,Gas Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar Market Value - AUD
1/12/1998,0,-5.59,0,0,2574.87,0,12.86,73.37,0,49.7,0,0,0,0,0,0,0,0,0,2387283.04,0,13502.58,67868.31,0,33.17,0,0,0,0,0,0,0,0,0,0,0,0
1/01/1999,0,-40.62,0,0,3264.91,0,3.58,117.25,0,104.55,0,0,0,0,0,0,0,0,0,3039010.79,0,3755.77,107601.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/02/1999,0,-19.44,0,0,2993.34,0,1.12,118.47,0,92.64,0,0,0,0,0,0,0,0,0,2794084.9,0,1173.05,107956.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/03/1999,0,-53.84,0,0,3292.72,0,11.14,146.6,0,128.64,0,0,0,0,0,0,0,0,0,3071842.16,0,11686.96,131568.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/04/1999,0,-15.2,0,0,3035.82,0,1.13,100.3,0,102.25,0,0,0,0,0,0,0,0,0,2816290.84,0,1188.24,93987.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/05/1999,0,-19.77,0,0,3146.04,0,3.38,80.71,0,105.37,0,0,0,0,0,0,0,0,0,2906493.63,0,3552.23,78325.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/06/1999,0,-16.59,0,0,3188.51,0,0.31,84.37,0,92.26,0,0,0,0,0,0,0,0,0,2942015.24,0,327.48,81605.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/07/1999,0,-7.1,0,0,3285.23,0,0,96.14,0,66.64,0,0,0,0,0,0,0,0,0,3050005.06,0,4.86,92527.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/08/1999,0,-33.67,0,0,3215,0,6.66,126.04,0,81.08,0,0,0,0,0,0,0,0,0,3012132.15,0,6993.63,115050.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/09/1999,0,-3.54,0,0,3057.21,0,0,134.03,0,55.16,0,0,0,0,0,0,0,0,0,2842148.05,0,0,125180.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/1999,0,-5.74,0,0,3239.07,0,5.61,184.43,0,64.97,0,0,0,0,0,0,0,0,0,3005891.1,0,5887.99,164994.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/1999,0,-8.87,0,0,3175.32,0,2.82,154.15,0,73.61,0,0,0,0,0,0,0,0,0,2944081.2,0,2965.01,135060.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/1999,0,-3.37,0,0,3308.17,0,0.13,182.6,0,74.42,0,0,0,0,33,22.05,16,0,0,3083770.53,0,131.57,159070.28,0,33.42,0,67889.87,0,0,107024395.9,0,5676.93,6029958.32,0,2342428.97,0,0
1/01/2000,0,-30.23,0,0,3394.57,0,15.96,176.76,0,81.45,0,0,0,0,40,24.17,17,0,0,3173351.51,0,16747.2,157698.86,0,127.39,0,10984781.54,0,0,401813785.9,0,11262442.12,30962468.23,0,15748970.8,0,0
