date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal -  GWh,Gas -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar -  GWh,Wind (Curtailment) -  GWh,Solar (Curtailment) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal Emissions Vol - tCO₂e,Gas Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal Market Value - AUD,Gas Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar Market Value - AUD
1/12/1998,0,0,0,2997.69,16.21,0,121.19,0,0,0,0,0,0,0,0,0,3837209.43,11046.99,0,20.57,0,0,0,0,0,0,0,0,0
1/01/1999,0,0,0,3997.7,11.4,0,151.57,0,0,0,0,0,0,0,0,0,5128693.98,8123.69,0,0,0,0,0,0,0,0,0,0,0
1/02/1999,0,0,0,3798.21,20.23,0,115.44,0,0,0,0,0,0,0,0,0,4910845.18,11566.11,0,0,0,0,0,0,0,0,0,0,0
1/03/1999,0,0,0,4244.41,20.32,0,46.22,0,0,0,0,0,0,0,0,0,5470888.1,11276.14,0,0,0,0,0,0,0,0,0,0,0
1/04/1999,0,0,0,4044.08,4.47,0,34.71,0,0,0,0,0,0,0,0,0,5214287.6,3616.42,0,0,0,0,0,0,0,0,0,0,0
1/05/1999,0,0,0,4136.65,24.82,0,19.59,0,0,0,0,0,0,0,0,0,5330129.29,16837.67,0,0,0,0,0,0,0,0,0,0,0
1/06/1999,0,0,0,4106.11,56.13,0,42.02,0,0,0,0,0,0,0,0,0,5278677.04,35819.33,0,0,0,0,0,0,0,0,0,0,0
1/07/1999,0,0,0,4492.18,107.53,0,39.42,0,0,0,0,0,0,0,0,0,5807669.16,64642.71,0,0,0,0,0,0,0,0,0,0,0
1/08/1999,0,0,0,4301.55,200.87,0,49.64,0,0,0,0,0,0,0,0,0,5581827.87,113689.87,0,0,0,0,0,0,0,0,0,0,0
1/09/1999,0,0,0,4139.72,52.61,0,57.1,0,0,0,0,0,0,0,0,0,5360541.51,30304.01,0,0,0,0,0,0,0,0,0,0,0
1/10/1999,0,0,0,4152.69,78.56,0,56.09,0,0,0,0,0,0,0,0,0,5359954.81,44243.35,0,0,0,0,0,0,0,0,0,0,0
1/11/1999,0,0,0,4030.46,98.17,0,46.08,0,0,0,0,0,0,0,0,0,5184446.97,53836.16,0,0,0,0,0,0,0,0,0,0,0
1/12/1999,0,0,0,4174.49,43.88,0,66.51,0,0,0,0,0,0,0,0,0,5378499.85,25091.93,0,17.13,0,0,0,70089928.97,952301.44,0,1170305.34,0,0
1/01/2000,0,0,0,3595.87,279.47,0,100.37,0,0,0,0,0,0,0,0,0,4615175.51,175916.06,0,33.32,0,0,0,114528691.3,8762050.39,0,3452789.61,0,0
1/02/2000,0,0,0,3698.2,345.71,0,112.05,0,0,0,0,0,0,0,0,0,4752808.36,216993.17,0,55.54,0,0,0,213756133.4,20722196.4,0,8238336.93,0,0
