Date,NSW,VIC,QLD
1981-06-01,5234889.0,3946917.0,2345208.0
1981-07-01,5239744.333333333,3950389.0,2352631.0
1981-08-01,5244599.666666667,3953861.0,2360054.0
1981-09-01,5249455.0,3957333.0,2367477.0
1981-10-01,5255268.0,3961021.3333333335,2374299.0
1981-11-01,5261081.0,3964709.6666666665,2381121.0
1981-12-01,5266894.0,3968398.0,2387943.0
1982-01-01,5273302.333333333,3972540.6666666665,2394080.3333333335
1982-02-01,5279710.666666667,3976683.3333333335,2400217.6666666665
1982-03-01,5286119.0,3980826.0,2406355.0
1982-04-01,5291939.333333333,3984840.6666666665,2412432.0
1982-05-01,5297759.666666667,3988855.3333333335,2418509.0
1982-06-01,5303580.0,3992870.0,2424586.0
1982-07-01,5307668.666666667,3996157.0,2430694.6666666665
1982-08-01,5311757.333333333,3999444.0,2436803.3333333335
1982-09-01,5315846.0,4002731.0,2442912.0
1982-10-01,5319971.0,4006049.6666666665,2447433.0
1982-11-01,5324096.0,4009368.3333333335,2451954.0
1982-12-01,5328221.0,4012687.0,2456475.0
1983-01-01,5333489.666666667,4016876.0,2460886.3333333335
1983-02-01,5338758.333333333,4021065.0,2465297.6666666665
1983-03-01,5344027.0,4025254.0,2469709.0
1983-04-01,5347004.333333333,4028736.6666666665,2473900.0
1983-05-01,5349981.666666667,4032219.3333333335,2478091.0
1983-06-01,5352959.0,4035702.0,2482282.0
1983-07-01,5356554.0,4038863.0,2485979.0
1983-08-01,5360149.0,4042024.0,2489676.0
1983-09-01,5363744.0,4045185.0,2493373.0
1983-10-01,5367467.666666667,4048289.3333333335,2496677.0
1983-11-01,5371191.333333333,4051393.6666666665,2499981.0
1983-12-01,5374915.0,4054498.0,2503285.0
1984-01-01,5379670.0,4058401.6666666665,2506671.0
1984-02-01,5384425.0,4062305.3333333335,2510057.0
1984-03-01,5389180.0,4066209.0,2513443.0
1984-04-01,5393696.333333333,4069636.6666666665,2516915.0
1984-05-01,5398212.666666667,4073064.3333333335,2520387.0
1984-06-01,5402729.0,4076492.0,2523859.0
1984-07-01,5407331.333333333,4079844.3333333335,2527898.0
1984-08-01,5411933.666666667,4083196.6666666665,2531937.0
1984-09-01,5416536.0,4086549.0,2535976.0
1984-10-01,5421608.0,4090246.0,2539676.6666666665
1984-11-01,5426680.0,4093943.0,2543377.3333333335
1984-12-01,5431752.0,4097640.0,2547078.0
1985-01-01,5438351.0,4101673.6666666665,2551202.6666666665
1985-02-01,5444950.0,4105707.3333333335,2555327.3333333335
1985-03-01,5451549.0,4109741.0,2559452.0
1985-04-01,5455870.0,4113183.3333333335,2563374.0
1985-05-01,5460191.0,4116625.6666666665,2567296.0
1985-06-01,5464512.0,4120068.0,2571218.0
1985-07-01,5469092.666666667,4123310.6666666665,2575268.0
1985-08-01,5473673.333333333,4126553.3333333335,2579318.0
1985-09-01,5478254.0,4129796.0,2583368.0
1985-10-01,5484325.0,4133337.6666666665,2587945.3333333335
1985-11-01,5490396.0,4136879.3333333335,2592522.6666666665
1985-12-01,5496467.0,4140421.0,2597100.0
1986-01-01,5503103.666666667,4143965.0,2601468.3333333335
1986-02-01,5509740.333333333,4147509.0,2605836.6666666665
1986-03-01,5516377.0,4151053.0,2610205.0
1986-04-01,5521426.666666667,4154320.6666666665,2615001.6666666665
1986-05-01,5526476.333333333,4157588.3333333335,2619798.3333333335
1986-06-01,5531526.0,4160856.0,2624595.0
1986-07-01,5537660.0,4164551.3333333335,2628555.6666666665
1986-08-01,5543794.0,4168246.6666666665,2632516.3333333335
1986-09-01,5549928.0,4171942.0,2636477.0
1986-10-01,5558035.666666667,4175908.6666666665,2640577.3333333335
1986-11-01,5566143.333333333,4179875.3333333335,2644677.6666666665
1986-12-01,5574251.0,4183842.0,2648778.0
1987-01-01,5581569.666666667,4188366.0,2653403.3333333335
1987-02-01,5588888.333333333,4192890.0,2658028.6666666665
1987-03-01,5596207.0,4197414.0,2662654.0
1987-04-01,5603050.0,4201646.333333333,2666805.0
1987-05-01,5609893.0,4205878.666666667,2670956.0
1987-06-01,5616736.0,4210111.0,2675107.0
1987-07-01,5624457.0,4214643.0,2679447.6666666665
1987-08-01,5632178.0,4219175.0,2683788.3333333335
1987-09-01,5639899.0,4223707.0,2688129.0
1987-10-01,5648672.333333333,4227453.0,2693258.0
1987-11-01,5657445.666666667,4231199.0,2698387.0
1987-12-01,5666219.0,4234945.0,2703516.0
1988-01-01,5673945.0,4239958.333333333,2710341.3333333335
1988-02-01,5681671.0,4244971.666666667,2717166.6666666665
1988-03-01,5689397.0,4249985.0,2723992.0
1988-04-01,5695367.666666667,4254179.666666667,2729297.0
1988-05-01,5701338.333333333,4258374.333333333,2734602.0
1988-06-01,5707309.0,4262569.0,2739907.0
1988-07-01,5714983.0,4268504.666666667,2746734.3333333335
1988-08-01,5722657.0,4274440.333333333,2753561.6666666665
1988-09-01,5730331.0,4280376.0,2760389.0
1988-10-01,5737638.666666667,4285350.666666667,2767215.6666666665
1988-11-01,5744946.333333333,4290325.333333333,2774042.3333333335
1988-12-01,5752254.0,4295300.0,2780869.0
1989-01-01,5758076.0,4300192.666666667,2789527.6666666665
1989-02-01,5763898.0,4305085.333333333,2798186.3333333335
1989-03-01,5769720.0,4309978.0,2806845.0
1989-04-01,5771907.666666667,4313373.333333333,2813775.6666666665
1989-05-01,5774095.333333333,4316768.666666667,2820706.3333333335
1989-06-01,5776283.0,4320164.0,2827637.0
1989-07-01,5779397.0,4324621.666666667,2834106.3333333335
1989-08-01,5782511.0,4329079.333333333,2840575.6666666665
1989-09-01,5785625.0,4333537.0,2847045.0
1989-10-01,5791443.0,4338433.0,2852699.0
1989-11-01,5797261.0,4343329.0,2858353.0
1989-12-01,5803079.0,4348225.0,2864007.0
1990-01-01,5808103.0,4353666.0,2870728.0
1990-02-01,5813127.0,4359107.0,2877449.0
1990-03-01,5818151.0,4364548.0,2884170.0
1990-04-01,5823441.0,4369229.333333333,2889207.6666666665
1990-05-01,5828731.0,4373910.666666667,2894245.3333333335
1990-06-01,5834021.0,4378592.0,2899283.0
1990-07-01,5839192.0,4382789.0,2904034.6666666665
