Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1910,0.19,0.37,-0.71,0.07,-0.10,-1.08,-1.61,0.04,-0.48,-0.56,-0.71,-0.15
1911,0.08,-0.14,0.70,1.08,0.13,0.20,0.17,0.64,0.70,0.33,0.49,-0.26
1912,1.31,-0.08,-0.32,1.07,1.79,-0.21,-0.64,0.41,0.87,0.58,-0.26,0.65
1913,0.25,-0.39,-1.07,0.32,0.13,0.41,0.82,0.95,1.02,0.35,1.23,0.12
1914,-0.03,1.25,0.21,0.77,-0.55,0.35,-0.29,1.02,0.91,0.86,-1.57,-1.30
1915,-0.08,0.02,1.29,0.45,-0.50,-0.69,-0.52,1.02,0.41,0.65,1.17,0.16
1916,-0.05,0.70,0.98,0.52,0.97,-1.35,-1.52,-0.39,-0.35,-1.74,-1.35,-0.91
1917,-0.92,-0.49,-0.57,0.38,0.62,-0.19,0.08,-0.53,-0.34,-0.91,-1.01,-0.52
1918,-0.91,-0.83,0.94,0.30,0.30,1.59,0.39,-0.94,1.79,0.97,0.84,0.92
1919,0.41,-0.50,1.13,-0.63,-0.88,0.23,1.70,0.77,1.22,1.25,-0.02,-0.17
1920,-0.55,1.14,1.45,-1.12,0.16,-1.30,-1.56,-1.62,-1.36,-0.09,-0.94,-0.49
1921,0.11,-0.42,-1.26,0.86,-1.12,-1.32,-0.11,-0.37,-0.42,0.22,0.30,-0.78
1922,0.74,-0.20,0.99,0.74,0.51,-0.19,0.09,1.77,1.20,0.45,1.50,-1.05
1923,0.69,1.39,0.63,-0.13,1.01,-1.13,-0.50,0.53,1.51,0.57,1.49,-0.75
1924,1.00,-0.07,0.67,0.60,1.32,0.37,0.99,0.87,-0.46,-0.26,-0.58,0.35
1925,-0.82,-0.12,0.04,1.01,0.19,1.05,-0.46,0.00,0.66,1.63,0.24,0.55
1926,0.18,1.51,-0.87,0.17,-0.85,0.59,0.71,0.84,0.54,1.72,1.09,-0.24
1927,0.08,1.01,-0.33,1.40,1.53,-0.15,0.24,1.33,0.50,0.19,0.65,-0.30
1928,0.57,0.08,0.32,0.24,1.50,-0.35,0.45,1.57,1.20,0.04,1.15,0.10
1929,0.56,0.36,-1.04,1.40,1.35,0.07,1.03,0.09,1.09,0.50,0.09,0.32
1930,0.32,-0.11,0.36,0.32,0.28,-0.55,-0.31,-0.31,0.66,-1.29,0.29,-0.77
1931,0.55,1.83,-0.57,-0.52,-1.38,-1.45,-0.61,0.40,0.42,0.90,-0.10,0.89
1932,1.25,1.03,0.22,0.13,-0.61,-0.37,0.83,-0.17,0.35,-0.85,0.50,0.31
1933,0.94,1.50,0.06,0.45,-0.37,0.20,-1.24,-1.18,-1.07,0.75,-0.53,-0.80
1934,0.28,0.21,-0.40,-1.03,1.02,0.02,-0.79,-0.30,0.19,-0.13,-1.05,0.76
1935,0.14,1.07,-0.53,0.22,2.17,0.51,0.07,-0.02,-0.17,-0.26,0.29,0.76
1936,-0.07,-0.08,0.28,1.10,1.33,-0.21,-0.89,0.29,1.09,0.32,0.57,-0.67
1937,-0.98,0.57,0.34,1.23,1.59,0.08,0.80,0.02,0.76,0.67,-0.18,-0.10
1938,-0.34,-0.32,1.48,1.49,1.04,-1.31,-1.53,-0.11,1.56,0.75,-0.01,0.96
1939,-0.56,-0.55,-0.70,-0.76,0.65,-1.20,-2.08,-0.31,1.13,0.01,-0.76,1.12
1940,-0.21,0.43,1.46,-0.06,1.60,1.08,1.67,1.33,0.88,0.69,0.58,0.15
1941,-1.02,0.56,-1.31,-0.67,-0.25,-1.27,0.40,1.11,0.40,-0.44,-0.31,0.22
1942,-0.20,-0.37,0.41,0.46,-0.96,-0.89,-0.33,0.79,0.87,0.09,0.56,-0.87
