Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1910,-0.13,-0.15,-2.19,-0.26,0.17,-0.56,-0.73,0.38,0.44,-2.03,-1.68,-1.62
1911,-0.44,-1.26,-0.57,-0.69,-0.80,-1.60,-0.22,-0.01,-0.22,-0.25,0.68,-0.75
1912,0.87,0.57,0.02,-0.53,0.48,-0.87,-0.67,0.23,0.45,0.26,-0.88,0.13
1913,-0.38,-0.96,-2.20,-0.36,-2.65,-1.81,0.13,-0.14,-0.71,-0.03,0.39,0.34
1914,-0.44,1.08,0.38,0.70,-0.43,-0.16,-1.08,1.27,0.37,0.72,0.09,-0.27
1915,-0.88,0.89,0.81,0.34,-1.34,0.45,0.88,-0.09,0.99,-0.16,0.96,-0.33
1916,-0.21,0.21,0.42,-1.29,0.85,-0.10,-1.38,-0.14,-0.08,-2.10,-3.23,-2.19
1917,-1.84,-3.11,-1.70,-1.52,-2.10,-1.55,0.75,-1.11,-0.43,-1.19,-2.26,-1.17
1918,-1.46,-1.69,-1.31,-0.72,-0.28,1.00,-1.23,-0.55,0.65,0.31,0.60,0.73
1919,0.16,-0.72,-0.03,0.26,-0.81,0.47,0.22,-0.05,0.03,0.04,0.35,0.45
1920,-1.06,0.09,-0.32,-1.45,-0.85,-0.36,-0.91,-1.03,-0.93,-0.46,-0.83,-1.54
1921,-0.62,-0.47,-1.89,-0.53,0.75,0.34,0.56,-1.41,-0.30,-0.94,0.38,-0.94
1922,-0.19,-0.14,-0.03,1.35,-0.53,-0.61,-1.67,-0.52,0.24,0.13,1.02,-1.47
1923,-0.03,1.77,0.74,0.39,1.05,-1.18,-1.29,-1.24,-0.43,-0.74,-0.24,-0.80
1924,-0.65,-1.01,-0.68,-1.88,0.55,-0.51,1.06,0.17,0.15,-0.95,-1.10,-1.03
1925,-1.98,-0.69,-0.68,0.02,-0.36,-0.01,-1.62,-1.28,-1.65,-0.24,0.28,0.88
1926,-0.44,1.91,-0.52,0.09,-2.04,-0.47,0.91,0.37,0.14,1.13,0.79,-1.21
1927,-0.43,-0.72,-0.29,-0.66,-0.63,0.03,-0.58,0.23,0.22,0.15,0.48,-0.92
1928,-0.55,-0.31,0.50,1.14,-0.15,-1.13,0.13,1.93,2.01,0.20,1.13,0.29
1929,0.15,0.69,-1.52,-1.20,-0.64,-1.17,-1.44,-0.06,-0.92,-0.34,0.12,-1.13
1930,-0.44,-0.02,-0.17,-0.44,-0.20,-0.37,0.78,-0.31,0.05,-1.04,0.03,-1.48
1931,-0.55,0.46,-0.74,-1.36,-0.99,-0.70,-0.40,-0.17,0.14,-1.16,-1.75,0.26
1932,2.02,-0.07,-0.09,-0.93,-0.32,-1.09,-0.44,-0.67,-0.65,-1.23,0.02,-0.38
1933,0.13,0.62,0.58,-0.07,-0.28,0.16,-1.16,-1.84,-1.09,0.07,-1.49,-1.77
1934,0.08,-0.09,0.00,-1.39,0.80,-0.41,-0.54,-0.75,0.09,-1.02,-1.62,-0.24
1935,-0.40,0.34,-0.71,-1.30,-0.11,-1.13,-0.34,0.05,-0.56,-0.38,0.44,0.16
1936,0.10,0.02,-0.41,-0.71,0.22,-1.34,0.06,1.67,0.22,0.29,0.27,-0.63
1937,-1.82,0.00,-0.15,-0.78,0.83,-0.97,-0.50,-0.20,0.14,0.93,0.53,-0.06
1938,-0.63,-1.14,1.35,1.08,1.43,-0.49,-1.05,-0.67,0.78,0.97,0.81,1.42
1939,0.33,-0.61,-0.92,-0.79,0.90,-1.05,-2.22,-1.55,-0.67,-1.26,-1.62,-0.10
1940,-0.42,-0.70,1.18,-1.17,-0.85,0.75,0.48,0.73,0.51,1.40,-0.37,0.47
1941,-2.45,-0.21,-2.08,-0.26,-0.59,-1.26,0.19,-0.50,0.07,-1.07,0.04,0.13
1942,-0.25,-1.09,0.67,0.11,0.52,0.31,-0.11,1.21,0.90,-0.50,-0.20,-1.03
1943,0.12,-0.70,1.17,-0.64,-0.89,-0.98,-0.25,-1.11,-0.16,-0.13,-1.01,-0.09
1944,1.10,-0.98,-0.03,-0.77,-1.03,-0.49,-0.38,0.02,1.16,0.27,1.31,-0.63
1945,-0.28,-0.50,-0.42,0.51,0.02,1.00,-0.93,0.94,-0.30,-1.57,-0.48,-0.15
1946,-0.48,-1.80,-1.12,-1.19,1.22,-1.16,0.89,0.68,0.07,-0.26,0.00,-0.14
1947,1.54,-0.55,-0.89,-0.92,0.77,1.19,0.41,-0.88,-1.55,-1.70,-1.30,-0.85
1948,-0.33,0.27,-0.60,-1.10,-0.29,-0.26,-0.10,0.87,0.50,0.62,-0.09,-0.43
1949,-0.40,-2.22,-1.58,-1.19,-1.44,-1.84,0.55,0.49,-0.96,-0.69,-1.28,0.09
1950,-0.15,-1.13,-1.02,-0.53,0.26,-1.62,-0.60,-0.35,0.29,-1.98,-1.25,-1.16
1951,-1.01,-0.29,1.46,-0.87,-0.76,-0.39,-0.42,-1.32,0.70,-0.12,1.14,0.35
1952,0.78,0.12,0.61,-0.93,-0.61,0.38,-0.72,-0.69,0.18,-1.12,-1.09,-0.28
1953,-1.18,-1.81,1.18,0.95,-0.44,0.44,0.55,-1.49,-0.44,-0.10,-0.47,0.33
1954,-0.68,-0.95,1.25,-0.74,-0.37,-1.10,0.27,-0.13,-0.13,-0.78,-0.47,-0.17
1955,-0.17,-0.35,-0.78,-0.92,-1.93,-0.98,-1.42,0.44,0.18,-0.76,-1.31,-0.66
1956,-0.22,-0.45,-1.07,-0.99,-1.41,-1.93,-0.92,-1.71,-1.63,-1.65,-1.07,-0.43
1957,0.32,-0.41,-0.40,1.30,0.75,1.77,-2.07,0.08,0.39,1.09,1.43,0.33
1958,0.04,0.76,0.29,1.22,1.93,0.08,0.32,-0.31,-1.88,-0.59,-0.06,-0.50
1959,0.33,0.17,0.65,0.32,-0.57,0.41,0.25,0.84,-0.09,0.04,1.48,-1.07
1960,0.31,-1.07,-0.10,-0.69,-2.95,-0.86,-0.19,-1.18,-0.83,0.46,-0.67,-0.58
1961,0.24,-0.17,0.84,0.13,0.06,0.43,-0.51,-0.67,1.14,1.57,-0.12,0.60
1962,-0.97,-0.20,-0.53,-0.06,-0.65,1.56,0.12,-0.38,-0.17,-0.59,1.31,-0.46
1963,-1.21,-0.07,0.18,-1.22,-0.43,-0.83,-0.52,-0.20,0.31,0.14,0.01,0.04
1964,-0.26,-0.47,0.78,-0.09,-0.34,0.40,1.17,0.42,-0.17,-2.03,-0.81,-1.11
1965,0.54,2.31,-0.12,-0.01,0.99,0.26,-0.84,0.04,0.98,0.67,0.12,-0.11
1966,-0.61,-0.24,0.63,0.47,-0.75,0.28,-0.57,-1.64,-0.76,-1.78,-0.48,-1.31
1967,0.12,-1.56,-2.00,0.90,0.43,-0.23,-0.42,-0.63,0.31,1.90,0.54,-0.55
1968,0.09,0.03,-0.31,0.61,-2.99,-0.28,-1.95,-1.70,-1.11,0.02,0.19,-0.75
1969,1.58,-0.44,-0.45,0.36,-0.03,-0.33,0.81,0.98,-1.77,0.85,0.62,-0.40
1970,0.64,1.12,0.36,-0.10,-0.94,1.63,0.69,-0.28,-1.21,0.67,-0.54,-0.24
1971,0.75,0.20,-0.37,-0.98,-0.12,-1.02,-0.20,0.03,0.47,0.52,-1.67,-0.59
1972,-0.82,-0.26,-0.39,0.13,0.49,0.97,0.18,0.54,1.05,0.63,0.41,2.30
1973,0.65,-0.51,0.24,0.51,1.21,-0.17,1.22,-0.02,-0.44,-0.17,-0.95,-0.75
1974,-2.58,-2.09,-0.54,-1.82,-1.09,-0.47,0.73,-0.08,-1.49,-1.48,-1.35,-0.24
1975,-0.19,-0.96,-0.88,-0.40,1.26,0.04,1.95,-0.16,0.00,-2.71,-0.20,-1.21
1976,-2.38,-1.57,-0.50,-0.26,0.09,0.08,0.73,0.12,-0.30,-2.25,-1.00,0.99
1977,0.31,0.43,-0.77,-0.38,-0.77,-0.54,0.35,2.04,-0.69,1.14,0.51,0.47
1978,-0.31,0.79,0.98,0.82,0.03,-1.02,-1.27,-1.52,-2.11,-1.05,-0.75,-0.72
1979,1.39,-0.45,0.66,0.06,-1.79,1.17,0.79,0.12,-0.25,0.37,1.57,1.62
1980,0.40,0.20,1.79,0.68,1.19,0.34,-0.08,1.26,2.55,0.36,1.59,0.88
1981,-0.05,-0.65,-0.34,2.28,0.15,-0.55,0.15,0.57,1.55,0.30,-1.73,0.43
1982,0.55,-0.16,-1.48,0.10,0.52,-0.79,-0.23,2.03,-0.55,-0.09,1.71,0.92
1983,0.40,2.47,-0.30,-2.43,0.04,0.15,-0.88,0.73,1.78,0.43,-0.43,-0.18
1984,-2.28,-0.04,-1.41,-0.23,0.77,0.60,-1.48,0.09,-1.80,-0.07,0.43,-0.03
1985,1.65,1.14,1.06,0.02,0.61,-0.60,0.51,0.78,-0.42,-0.90,-0.16,-0.07
1986,0.16,1.12,2.53,0.84,1.07,-0.12,-1.44,-1.12,0.16,-1.35,0.07,0.15
1987,-0.05,-1.05,-0.57,1.26,-0.33,0.43,0.52,-0.16,0.49,0.89,0.23,-0.18
1988,1.53,0.22,0.77,-0.11,0.47,1.24,1.00,0.44,1.25,2.69,-0.68,-1.09
1989,-0.18,1.16,-1.08,-0.63,0.18,-1.61,-0.86,-1.14,0.97,0.68,-0.66,0.36
1990,0.69,-0.43,1.28,-0.46,0.56,-0.93,0.30,-0.50,0.06,0.52,2.13,1.22
1991,-0.06,0.64,0.85,0.65,0.84,1.54,0.63,0.59,0.99,2.06,-0.03,-0.13
1992,0.02,0.03,1.30,0.25,-0.34,0.11,1.27,-0.24,-0.81,-0.90,-1.34,-1.04
1993,0.52,-0.86,0.56,1.79,0.32,-0.70,0.69,0.63,-0.48,-0.94,0.61,-1.24
1994,1.37,-0.78,-0.30,0.69,1.55,0.58,1.35,0.33,0.82,0.96,0.35,0.95
1995,-0.10,-1.02,-0.60,-0.63,-0.81,0.03,0.43,1.44,1.11,-0.13,0.32,-0.63
1996,0.36,1.01,0.42,0.01,0.92,2.03,0.70,0.40,1.02,0.46,0.47,-0.11
1997,-0.66,0.16,-0.31,0.91,-0.71,0.09,-0.26,0.02,1.11,0.63,1.11,0.81
1998,0.99,2.00,1.87,0.19,1.51,0.32,-0.77,1.28,0.67,0.30,-0.17,-0.31
1999,1.10,-0.40,0.14,-1.05,1.64,0.75,1.04,1.16,1.57,0.31,-2.16,-1.78
2000,-1.12,-0.86,-0.94,-1.38,-1.55,-0.64,1.32,0.45,2.47,-0.78,-0.24,-0.68
2001,1.33,-0.24,-1.02,0.68,0.29,1.07,0.54,0.75,1.01,-1.44,-0.77,-1.06
2002,0.19,-1.15,1.09,2.53,2.30,1.15,1.98,1.15,1.59,2.03,1.93,1.27
2003,1.02,0.44,-0.12,1.03,1.37,1.06,1.33,0.35,1.48,-0.37,0.89,0.75
2004,0.52,0.46,0.52,1.29,-0.13,0.92,0.50,0.33,0.03,2.27,0.45,0.59
2005,1.01,1.56,1.79,3.25,2.01,0.67,0.98,0.24,1.00,1.10,0.97,1.25
2006,0.57,0.44,0.31,-1.09,-0.45,-0.36,0.14,2.14,1.61,1.92,2.32,0.25
2007,-0.05,2.30,0.28,1.41,1.94,-1.93,0.85,1.40,1.94,1.71,0.79,-0.38
2008,1.40,-1.07,1.02,0.35,1.58,0.93,0.82,-0.84,1.52,1.86,-0.53,-0.13
2009,0.38,0.43,1.27,0.80,0.09,0.81,0.94,3.26,1.52,0.85,2.32,0.96
2010,0.83,0.62,0.14,1.10,0.43,0.31,0.33,-0.50,-1.06,-1.15,-1.00,-1.09
2011,0.70,-1.05,-1.99,-0.50,-1.22,-0.16,0.72,1.81,0.90,0.19,0.18,-0.70
2012,-0.13,0.04,-1.35,0.45,0.39,-0.23,0.12,1.59,1.97,1.68,1.96,1.36
