Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1910,-0.22,-0.32,-1.82,-0.29,0.23,-0.01,0.08,0.36,0.69,-1.74,-1.31,-1.53
1911,-0.47,-1.17,-0.91,-1.22,-0.86,-1.69,-0.30,-0.32,-0.56,-0.41,0.44,-0.61
1912,0.22,0.62,0.19,-1.06,-0.40,-0.75,-0.34,0.02,0.02,-0.02,-0.74,-0.19
1913,-0.50,-0.75,-1.65,-0.51,-2.71,-2.00,-0.27,-0.61,-1.21,-0.20,-0.22,0.28
1914,-0.41,0.46,0.28,0.32,-0.14,-0.32,-0.92,0.76,-0.08,0.29,0.88,0.39
1915,-0.83,0.88,0.17,0.12,-1.08,0.80,1.15,-0.59,0.79,-0.48,0.38,-0.40
1916,-0.17,-0.13,-0.06,-1.54,0.37,0.58,-0.61,0.06,0.10,-1.21,-2.54,-1.72
1917,-1.37,-2.85,-1.40,-1.70,-2.40,-1.44,0.71,-0.83,-0.25,-0.72,-1.74,-0.90
1918,-0.99,-1.26,-1.77,-0.86,-0.42,0.21,-1.42,-0.07,-0.24,-0.17,0.18,0.27
1919,-0.04,-0.46,-0.58,0.58,-0.36,0.36,-0.62,-0.43,-0.57,-0.58,0.37,0.54
1920,-0.77,-0.47,-1.03,-0.88,-0.92,0.29,-0.12,-0.20,-0.24,-0.40,-0.35,-1.28
1921,-0.67,-0.25,-1.25,-0.95,1.32,1.01,0.62,-1.21,-0.08,-1.04,0.23,-0.54
1922,-0.55,-0.03,-0.51,0.98,-0.78,-0.50,-1.70,-1.40,-0.35,-0.09,0.27,-0.93
1923,-0.37,1.08,0.43,0.46,0.54,-0.60,-1.03,-1.50,-1.18,-1.02,-0.98,-0.41
1924,-1.14,-0.96,-1.01,-2.17,-0.10,-0.69,0.57,-0.25,0.39,-0.81,-0.80,-1.19
1925,-1.56,-0.62,-0.69,-0.48,-0.45,-0.52,-1.38,-1.27,-1.97,-1.04,0.16,0.61
1926,-0.52,1.16,-0.07,0.01,-1.60,-0.76,0.56,-0.04,-0.12,0.27,0.25,-1.08
1927,-0.46,-1.22,-0.11,-1.35,-1.39,0.11,-0.69,-0.43,-0.02,0.06,0.16,-0.76
1928,-0.83,-0.34,0.34,1.02,-0.89,-0.94,-0.09,1.15,1.41,0.18,0.56,0.24
1929,-0.12,0.51,-0.99,-1.89,-1.31,-1.19,-1.95,-0.10,-1.46,-0.58,0.07,-1.28
1930,-0.59,0.04,-0.34,-0.59,-0.33,-0.08,0.94,-0.14,-0.27,-0.38,-0.10,-1.08
1931,-0.82,-0.45,-0.44,-1.09,-0.29,0.03,-0.08,-0.36,-0.06,-1.60,-1.69,-0.18
1932,1.40,-0.58,-0.19,-0.99,0.00,-0.89,-0.85,-0.57,-0.82,-0.79,-0.22,-0.52
1933,-0.33,-0.12,0.55,-0.28,-0.08,0.06,-0.52,-1.24,-0.54,-0.30,-1.21,-1.36
1934,-0.05,-0.19,0.21,-0.86,0.29,-0.41,-0.13,-0.59,0.00,-0.94,-1.08,-0.61
1935,-0.46,-0.19,-0.43,-1.40,-1.18,-1.38,-0.37,0.07,-0.46,-0.24,0.30,-0.21
1936,0.14,0.07,-0.54,-1.25,-0.44,-1.22,0.51,1.53,-0.32,0.13,-0.01,-0.28
1937,-1.32,-0.28,-0.31,-1.39,0.03,-1.00,-0.89,-0.20,-0.23,0.60,0.63,0.00
1938,-0.45,-0.97,0.61,0.34,0.91,0.17,-0.27,-0.60,0.00,0.60,0.82,0.94
1939,0.62,-0.32,-0.56,-0.40,0.58,-0.44,-1.16,-1.38,-1.23,-1.26,-1.23,-0.65
1940,-0.30,-0.91,0.45,-1.13,-1.64,0.21,-0.35,0.07,0.07,1.05,-0.65,0.40
1941,-1.93,-0.48,-1.41,0.08,-0.45,-0.61,0.00,-1.05,-0.12,-0.84,0.20,0.02
1942,-0.14,-0.89,0.47,-0.11,1.01,0.76,0.06,0.82,0.46,-0.53,-0.47,-0.58
